ID,类别,中文名,哈++语法,参数,编译到哈语言,阻塞语义,状态,最低目标,校验规则,示例,备注
visual.emote,画面,添加表情符号,visual.emote target=<id> effect=<emote>,target: 角色; effect: 表情，可用 | 组合,PIC_MP target effect,none,stable,0.29j,effect 非空；枚举表存在时校验,visual.emote target=n effect=SWT,一次性/持续性由原效果决定
visual.move,画面,移动到终点,visual.move target=<id> x=<num> y=<num> frames=<int> [curve=<curve>],curve 默认 ZLINE,PIC_MOVE target x y frames curve,none,stable,0.29j,frames >= 0；curve 枚举,visual.move target=n x=120 y=0 frames=30 curve=ZLINE,坐标保持旧语义
visual.move_from,画面,从起点移动,"visual.move_from target=<id> from=[x1,y1] to=[x2,y2] frames=<int> [curve=<curve>]",from/to: 二元坐标,PIC_MOVE2 target x1 y1 x2 y2 frames curve,none,stable,0.29j,坐标数组长度为 2；frames >= 0,"visual.move_from target=#9 from=[0,0] to=[120,0] frames=30",支持旧 D+n/D-n 字面量
visual.shake,画面,抖动图片,visual.shake target=<id> frames=<int> kind=<shake>,kind: 抖动类型; NONE 停止,PIC_MOVEA target frames kind,none,stable,0.29j,frames >= 0；kind 枚举可选,visual.shake target=n frames=15 kind=SCARY,统一 PIC_MOVEA/PIC_MVA
visual.hide,画面,隐藏单个图片,visual.hide target=<id> [immediate=<bool>],immediate: 原地立即消失,PIC_HIDE target 0|1,none,stable,0.29j,target 必填,visual.hide target=n immediate=true,false/省略为平移或淡出
visual.hide_all,画面,隐藏一类图片,visual.hide_all [layers=<mask>] [immediate=<bool>],layers: # T & W % 组合或空,PIC_HIDE_ALL layers 0|1,none,stable,0.29j,layers 仅允许层掩码字符,"visual.hide_all layers=""#T""",空 layers 表示全部
visual.fill,画面,纯色填充,visual.fill layer=<id> color=<color>,layer: 图层; color: 命名/十六进制色,PIC_FILL layer color,none,stable,0.29j,颜色格式合法,visual.fill layer=#9 color=DARK,常与 fade 组合
visual.fade_in,画面,渐入,visual.fade_in layer=<id> frames=<int>,layer: 图层; frames: 帧数,PIC_FADEIN layer frames,none,stable,0.29j,frames >= 0,visual.fade_in layer=#9 frames=50,统一 PIC_FI 别名
visual.fade_out,画面,渐出,visual.fade_out layer=<id> frames=<int>,layer: 图层; frames: 帧数,PIC_FADEOUT layer frames,none,stable,0.29j,frames >= 0,visual.fade_out layer=#9 frames=50,统一 PIC_FO 别名
visual.flash,画面,画面闪烁,visual.flash layer=<id> delay=<int> hold=<int> fade=<int> color=<color>,三个时间均为帧,PIC_FLASH layer delay hold fade color,none,stable,0.29j,时间均 >= 0；颜色合法,visual.flash layer=#4 delay=15 hold=1 fade=40 color=#cccccc,参数命名消除 x/y/z 歧义
visual.effect,画面,后处理效果,visual.effect id=<effect> frames=<int>,frames=-1 表示移除,PE id frames,none,stable,0.29j,frames >= -1；效果 ID 非空,visual.effect id=ZOOM2 frames=60,保持 PE 的移除语义
visual.transition,画面,组合纯色转场,visual.transition layer=<id> color=<color> mode=<in|out> frames=<int>,mode: in/out,PIC_FILL; PIC_FADEIN 或 PIC_FADEOUT,none,stable,0.29j,mode 枚举；展开顺序固定,visual.transition layer=#9 color=DARK mode=in frames=50,一对多组合指令
audio.preload_bgm,音频,预加载音乐,audio.preload_bgm id=<bgm> [mode=<mode>],bgm: BGM ID; mode: 可选模式,LOAD_BGM id [mode],none,stable,0.29j,id 非空；资源索引可选校验,audio.preload_bgm id=BGM_forest mode=Normal,仅预加载，不承诺播放
audio.stop_bgm,音频,暂停音乐,audio.stop_bgm [frames=<int>],frames: 淡出帧，默认由引擎决定,STOP_BGM [frames],none,stable,0.29j,frames >= 0,audio.stop_bgm frames=150,保留暂停语义
audio.resume_bgm,音频,恢复音乐,audio.resume_bgm [frames=<int>],frames: 淡入帧,START_BGM [frames],none,stable,0.29j,frames >= 0,audio.resume_bgm frames=60,恢复已暂停音乐
audio.sfx,音频,播放音效,audio.sfx id=<sound> [args=[...]],sound: 音效 ID,SND id args...,none,stable,0.29j,id 非空；资源索引可选校验,audio.sfx id=cloth_off,原指令允许少量扩展参数
choice.reset,选择,清空动态选项,choice.reset,无,SELECTARRAY_CLEAR,none,stable,0.29j,无参数,choice.reset,动态选择前置步骤
choice.option,选择,添加动态选项,choice.option key=<key> text=<tx> [flag=<flag>] [selected=<bool>],flag: 空/C/S；selected: 是否选过,SELECTARRAY key text flag 0|1,none,stable,0.29j,flag 枚举；key/text 必填,choice.option key=cancel text=&&Cancel flag=C,C=取消；S=不可选
choice.focus,选择,默认焦点,choice.focus index=<int>,index: 选项序号,SELECT_FOCUS index,none,stable,0.29j,index >= 0,choice.focus index=0,受添加顺序影响
choice.position,选择,选择器位置,choice.position preset=<pos>,pos: 屏幕位置预设,SELECT_POS preset,none,stable,0.29j,preset 非空,choice.position preset=C,0.29j 方法体已确认
choice.columns,选择,选择器列数,choice.columns count=<int>,count: 列数,SELECT_CLMS count,none,stable,0.29j,count > 0,choice.columns count=2,0.29j 方法体已确认
choice.show,选择,显示固定选择,choice.show count=<int> [result=<var>],count: 固定选项数; result: 接收变量,SELECT count [result],input,stable,0.29j,count > 0；result 为变量名,choice.show count=3 result=_choice,保留原 SELECT 行为
choice.menu,选择,组合动态选择,choice.menu result=<var> { option... },result: 结果变量；块内只允许 choice.option/布局指令,SELECTARRAY_CLEAR; SELECTARRAY...; SELECT ...,input,experimental,0.29j,必须通过真实脚本回归确认最终触发形态,choice.menu result=_choice { ... },组合形态在 MVP 可先禁用
state.bool,游戏状态,设置布尔开关,state.bool key=<id> value=<bool>,key: GFB ID,GFB_SET key 0|1,none,stable,0.29j,key 非空,state.bool key=MOB0 value=true,统一 SET/PUT 别名
state.number,游戏状态,设置数值变量,state.number key=<id> value=<number>,key: GFC ID,GFC_SET key value,none,stable,0.29j,key 非空；value 为数值表达式或数值,state.number key=MOB_COUNT value=3,统一 SET/PUT 别名
quest.progress,游戏状态,推进任务,quest.progress id=<quest> step=<int> [args=[...]],quest: 任务 ID; step: 进度; args: 业务参数,QUEST_PROGRESS id step args...,none,experimental,0.29j,id/step 必填；业务参数需按任务验证,quest.progress id=p103_walross step=3 args=[C],长尾参数保持显式
save.auto,游戏状态,自动存档,save.auto,无,AUTOSAVE,none,stable,0.29j,无参数,save.auto,统一 AUTO_SAVE/AUTOSAVE
ui.alert,UI,显示警告,ui.alert text=<tx> [style=<style>],text: 词条 ID；style: ALERT_*,UIALERT text style,none,stable,0.29j,text 不得以 && 开头；style 可枚举,ui.alert text=inventory_full style=ALERT_FATAL,左下角警告
shop.open,UI,打开商店,shop.open id=<shop> [position=<pos>],shop: 店铺 ID; pos: CL/CCL/C/CCR/CR 等,ITEMSTORE id position,wait_fn,stable,0.29j,id 必填；position 枚举可选,shop.open id=city_shop position=C,打开 UI 并等待关闭
shop.reload,UI,刷新商店基础数据,shop.reload id=<shop>,shop: 店铺 ID,ITEMSTORE_RELOAD_BASIC id,none,stable,0.29j,id 必填,shop.reload id=city_shop,只标记重载，不打开 UI
tutorial.show,UI,显示教程卡片,tutorial.show [image=<asset>] text=<tx> [time=<int>],image 可空；text: 词条/按键提示,TUTO_CAP image text time,none,stable,0.29j,text 必填；time >= 0,tutorial.show image=tuto_dash text=&&Tuto_dash time=180,0.29j 参数语义已确认
tutorial.movie,UI,播放教程视频,tutorial.movie id=<movie> [a=<int>] [b=<int>],movie: Tuto_mp4 下资源键,TUTO_CAP_MOVIE id a b,none,stable,0.29j,id 必填；a/b 为整数,tutorial.movie id=water_tuto a=0 b=1,资源路径由运行时拼接
world.weather,世界,设置天气,world.weather [id=<weather>],weather: wind/thunder/mist/mist_dense/plague/drought 等,WEATHER [id],none,stable,0.29j,枚举可扩展；省略时保留引擎随机逻辑,world.weather id=mist_dense,不填按危险度随机
world.reload_map,世界,重载地图素材,world.reload_map,无,REMAKE_MAP,none,stable,0.29j,无参数；上下文需存在地图,world.reload_map,重新加载当前地图 pxls；不额外推断等待
world.prepare_map,世界,初始化地图材质,world.prepare_map id=<map> level=<int>,map: 地图 ID; level: 初始化级别,INIT_MAP_MATERIAL id level,wait_fn,stable,0.29j,level >= 0；level>=3 有额外 flush 语义,world.prepare_map id=city_farm level=3,不要把 level 当纯加载强度
world.prepare_texture,世界,预备存档纹理,world.prepare_texture id=<key> [wait=<bool>],key: 纹理键,PREPARE_SV_TEXTURE key [0|1],wait_fn,stable,0.29j,key 必填,world.prepare_texture id=noel_pose wait=true,预扫描与执行阶段均有行为
player.outfit,玩家,更换装扮,player.outfit kind=<outfit>,outfit: NORMAL/BABYDOLL/DOJO,PR_OUTFIT kind,none,stable,0.29j,装扮枚举；上下文需玩家焦点,player.outfit kind=DOJO,旧资料要求在对应焦点后使用
player.cure,玩家,恢复状态,player.cure hp=<bool> mp=<bool> status=<bool> egg=<bool> clothes=<bool> amount=<int>,五个布尔项加 amount,PR_CURE 0|1 0|1 0|1 0|1 0|1 amount,none,stable,0.29j,全部参数显式；amount 范围由项目策略校验,player.cure hp=true mp=true status=true egg=false clothes=true amount=1,命名参数解决六位置参数歧义
player.voice,玩家,播放玩家语音,player.voice id=<voice>,voice: 语音 ID,PR_VOICE id,none,stable,0.29j,id 非空；资源索引可选校验,player.voice id=breath_sleep,原语音枚举可生成补全
player.key,玩家,模拟输入,player.key key=<key> down=<bool>,key: 输入名; down: 按下/松开,PR_KEY_SIMULATE key [0 when false],none,stable,0.29j,key 枚举；down 必填,player.key key=MAGIC down=false,事件结束前应释放模拟按键
player.magic_wait,玩家,等待施放魔法,player.magic_wait,无,WAIT_PR_EXPLODE_MAGIC,wait_fn,stable,0.29j,上下文需允许事件处理按键,player.magic_wait,常与 ALLOW_EVENTHANDLE_KEY 配合
player.qte,玩家,启动 QTE,player.qte kind=<kind> count=<int> [flags=<flags>],kind: REP/HOLD/SEQUENCE/PENDULUM 等,PR_GACHA kind count flags,wait_fn,stable,0.29j,kind 枚举；count > 0,player.qte kind=HOLD count=3 flags=F,阻塞到 QTE 结束
haptics.play,输入,手柄震动,haptics.play patterns=[<pattern>...],patterns: 一个或多个 NEL.PadVib 预设,PVIB pattern...,none,stable,0.29j,至少一个 pattern；能力表可选校验,"haptics.play patterns=[STRONG,SHORT]",逐参数触发震动预设
